project_id,download_time,bidtab_success,proposal_success,bidtab_file,proposal_file,error
105522,2025-06-01 03:28:56.277215,True,True,,,
88832,2025-06-01 03:29:37.504630,True,True,,,
94263,2025-06-01 03:30:18.850614,True,True,,,
76467,2025-06-01 03:30:59.754908,True,True,,,
101555,2025-06-01 03:31:41.186374,True,True,,,
98470,2025-06-01 03:32:22.032425,True,True,,,
103062,2025-06-01 03:33:03.948917,True,True,,,
94400,2025-06-01 03:33:45.951454,True,True,,,
87194,2025-06-01 03:34:26.987162,True,True,,,
94079,2025-06-01 03:35:08.574614,True,True,,,
99627,2025-06-01 03:35:49.791218,True,True,,,
91512,2025-06-01 03:36:31.212612,True,True,,,
94131,2025-06-01 03:37:13.121202,True,True,,,
94110,2025-06-01 03:37:54.193567,True,True,,,
91837,2025-06-01 03:38:34.968865,True,True,,,
99593,2025-06-01 03:39:16.283077,True,True,,,
89246,2025-06-01 03:39:56.906396,True,True,,,
93147,2025-06-01 03:40:38.053512,True,True,,,
99629,2025-06-01 03:41:19.151798,True,True,,,
94134,2025-06-01 03:42:00.136277,True,True,,,
102364,2025-06-01 03:42:41.906901,True,True,,,
100968,2025-06-01 03:43:22.977588,True,True,,,
102835,2025-06-01 03:44:04.541738,True,True,,,
87283,2025-06-01 03:44:45.743140,True,True,,,
97243,2025-06-01 03:45:26.603662,True,True,,,
87352,2025-06-01 03:46:07.556652,True,True,,,
100676,2025-06-01 03:46:48.488986,True,True,,,
94394,2025-06-01 03:47:30.022988,True,True,,,
90909,2025-06-01 03:48:10.994635,True,True,,,
88848,2025-06-01 03:48:51.643439,True,True,,,
102808,2025-06-01 03:49:32.618946,True,True,,,
103254,2025-06-01 03:50:13.994654,True,True,,,
91766,2025-06-01 03:50:55.188774,True,True,,,
103252,2025-06-01 03:51:36.148223,True,True,,,
94133,2025-06-01 03:52:17.100976,True,True,,,
102817,2025-06-01 03:52:58.027760,True,True,,,
102413,2025-06-01 03:53:39.191691,True,True,,,
98702,2025-06-01 03:54:20.220379,True,True,,,
81641,2025-06-01 03:55:01.249154,True,True,,,
91391,2025-06-01 03:55:45.209191,True,True,,,
87718,2025-06-01 03:56:26.244233,True,True,,,
95447,2025-06-01 03:57:07.768281,True,True,,,
93645,2025-06-01 03:57:49.473093,True,True,,,
104854,2025-06-01 03:58:30.387444,True,True,,,
85530,2025-06-01 03:59:11.184731,True,True,,,
100999,2025-06-01 03:59:52.315998,True,True,,,
102763,2025-06-01 04:00:34.205927,True,True,,,
95564,2025-06-01 04:01:14.939062,True,True,,,
83064,2025-06-01 04:01:55.699556,True,True,,,
102974,2025-06-01 04:02:36.487611,True,True,,,
103055,2025-06-01 04:03:17.414608,True,True,,,
95510,2025-06-01 04:03:59.243922,True,True,,,
87286,2025-06-01 04:04:40.289637,True,True,,,
98266,2025-06-01 04:05:21.056568,True,True,,,
101246,2025-06-01 04:06:01.869607,True,True,,,
97956,2025-06-01 04:06:42.757960,True,True,,,
102832,2025-06-01 04:07:23.885667,True,True,,,
102802,2025-06-01 04:08:04.850439,True,True,,,
99634,2025-06-01 04:08:45.793870,True,True,,,
85217,2025-06-01 04:09:26.710147,True,True,,,
92983,2025-06-01 04:10:08.103416,True,True,,,
100937,2025-06-01 04:10:49.011131,True,True,,,
100962,2025-06-01 04:11:29.811295,True,True,,,
103438,2025-06-01 04:12:11.190980,True,True,,,
95765,2025-06-01 04:12:52.599647,True,True,,,
103832,2025-06-01 04:13:33.792783,True,True,,,
87210,2025-06-01 04:14:15.177320,True,True,,,
93010,2025-06-01 04:14:56.211046,True,True,,,
85394,2025-06-01 04:15:37.721890,True,True,,,
101746,2025-06-01 04:16:18.542197,True,True,,,
106519,2025-06-01 04:16:59.792905,True,True,,,
88851,2025-06-01 04:17:40.756570,True,True,,,
88933,2025-06-01 04:18:22.676660,True,True,,,
98571,2025-06-01 04:19:03.342128,True,True,,,
92987,2025-06-01 04:19:44.265530,True,True,,,
85401,2025-06-01 04:20:25.638971,True,True,,,
98152,2025-06-01 04:21:06.675105,True,True,,,
99645,2025-06-01 04:21:47.871070,True,True,,,
100934,2025-06-01 04:22:28.831639,True,True,,,
100946,2025-06-01 04:23:10.301771,True,True,,,
84516,2025-06-01 04:23:51.990059,True,True,,,
104711,2025-06-01 04:24:32.766489,True,True,,,
103544,2025-06-01 04:25:13.897941,True,True,,,
92892,2025-06-01 04:25:54.803312,True,True,,,
95769,2025-06-01 04:26:35.746183,True,True,,,
100591,2025-06-01 04:27:17.336167,True,True,,,
92876,2025-06-01 04:27:58.015339,True,True,,,
101272,2025-06-01 04:28:39.061986,True,True,,,
102801,2025-06-01 04:29:20.018552,True,True,,,
92968,2025-06-01 04:30:00.837895,True,True,,,
84405,2025-06-01 04:30:41.873903,True,True,,,
99662,2025-06-01 04:31:22.708746,True,True,,,
92920,2025-06-01 04:32:03.507956,True,True,,,
101281,2025-06-01 04:32:44.245488,True,True,,,
100994,2025-06-01 04:33:25.115736,True,True,,,
94126,2025-06-01 04:34:06.727482,True,True,,,
105933,2025-06-01 04:34:47.659743,True,True,,,
76420,2025-06-01 04:35:28.433586,True,True,,,
92011,2025-06-01 04:36:09.231878,True,True,,,
92888,2025-06-01 04:36:49.899644,True,True,,,
91516,2025-06-01 04:37:31.451256,True,True,,,
100487,2025-06-01 04:38:12.324136,True,True,,,
97680,2025-06-01 04:38:53.421323,True,True,,,
100630,2025-06-01 04:39:33.975394,True,True,,,
102827,2025-06-01 04:40:15.093023,True,True,,,
25596,2025-06-01 04:40:56.212562,True,True,,,
95503,2025-06-01 04:41:36.940126,True,True,,,
83107,2025-06-01 04:42:17.901396,True,True,,,
84481,2025-06-01 04:42:59.014642,True,True,,,
100942,2025-06-01 04:43:40.237015,True,True,,,
92128,2025-06-01 04:44:21.451176,True,True,,,
102936,2025-06-01 04:45:02.420667,True,True,,,
101261,2025-06-01 04:45:43.183367,True,True,,,
107725,2025-06-01 04:46:24.206337,True,True,,,
94392,2025-06-01 04:47:04.933151,True,True,,,
93137,2025-06-01 04:47:45.912861,True,True,,,
94401,2025-06-01 04:48:26.718162,True,True,,,
79668,2025-06-01 04:49:07.767803,True,True,,,
91864,2025-06-01 04:49:48.741578,True,True,,,
102482,2025-06-01 04:50:30.023406,True,True,,,
105137,2025-06-01 04:51:10.746647,True,True,,,
95716,2025-06-01 04:51:51.454965,True,True,,,
91742,2025-06-01 04:52:32.200762,True,True,,,
84539,2025-06-01 04:53:13.028947,True,True,,,
97667,2025-06-01 04:53:53.898652,True,True,,,
96644,2025-06-01 04:54:34.837043,True,True,,,
87721,2025-06-01 04:55:15.521650,True,True,,,
94114,2025-06-01 04:55:56.340176,True,True,,,
100922,2025-06-01 04:56:37.155447,True,True,,,
93678,2025-06-01 04:57:18.414124,True,True,,,
96642,2025-06-01 04:57:59.057560,True,True,,,
102954,2025-06-01 04:58:40.132813,True,True,,,
105326,2025-06-01 04:59:20.815651,True,True,,,
102562,2025-06-01 05:00:01.809123,True,True,,,
88700,2025-06-01 05:00:43.072035,True,True,,,
98392,2025-06-01 05:01:23.813557,True,True,,,
101181,2025-06-01 05:02:05.137541,True,True,,,
105327,2025-06-01 05:02:46.291021,True,True,,,
106242,2025-06-01 05:03:27.700900,True,True,,,
99982,2025-06-01 05:04:08.930101,True,True,,,
100254,2025-06-01 05:04:49.424309,True,True,,,
96794,2025-06-01 05:05:30.725269,True,True,,,
100491,2025-06-01 05:06:12.375105,True,True,,,
97315,2025-06-01 05:06:54.703568,True,True,,,
102475,2025-06-01 05:07:36.116882,True,True,,,
96647,2025-06-01 05:08:17.134068,True,True,,,
87698,2025-06-01 05:08:58.057808,True,True,,,
92373,2025-06-01 05:09:38.828919,True,True,,,
98466,2025-06-01 05:10:19.526997,True,True,,,
98250,2025-06-01 05:11:01.403642,True,True,,,
93003,2025-06-01 05:11:42.295010,True,True,,,
100869,2025-06-01 05:12:22.957430,True,True,,,
102821,2025-06-01 05:13:03.803615,True,True,,,
94201,2025-06-01 05:13:44.769672,True,True,,,
102159,2025-06-01 05:14:25.949175,True,True,,,
95455,2025-06-01 05:15:06.986769,True,True,,,
100488,2025-06-01 05:15:48.261153,True,True,,,
95563,2025-06-01 05:16:29.192040,True,True,,,
91998,2025-06-01 05:17:10.644527,True,True,,,
100607,2025-06-01 05:17:51.820866,True,True,,,
98394,2025-06-01 05:18:32.839848,True,True,,,
91458,2025-06-01 05:19:13.541403,True,True,,,
105552,2025-06-01 05:19:54.542710,True,True,,,
93774,2025-06-01 05:20:36.690824,True,True,,,
93037,2025-06-01 05:21:18.001892,True,True,,,
105193,2025-06-01 05:21:59.094565,True,True,,,
95465,2025-06-01 05:22:40.311118,True,True,,,
105532,2025-06-01 05:23:20.881094,True,True,,,
102824,2025-06-01 05:24:01.897847,True,True,,,
96328,2025-06-01 05:24:43.116209,True,True,,,
102486,2025-06-01 05:25:24.221369,True,True,,,
101608,2025-06-01 05:26:05.255877,True,True,,,
105190,2025-06-01 05:26:46.536836,True,True,,,
98467,2025-06-01 05:27:27.622337,True,True,,,
100959,2025-06-01 05:28:08.818849,True,True,,,
100567,2025-06-01 05:28:50.235749,True,True,,,
101400,2025-06-01 05:29:30.818248,True,True,,,
94206,2025-06-01 05:30:12.049043,True,True,,,
100815,2025-06-01 05:30:53.031821,True,True,,,
105179,2025-06-01 05:31:34.749744,True,True,,,
84634,2025-06-01 05:32:16.241591,True,True,,,
105474,2025-06-01 05:32:57.535874,True,True,,,
105130,2025-06-01 05:33:38.509257,True,True,,,
96318,2025-06-01 05:34:19.849737,True,True,,,
96786,2025-06-01 05:35:00.914282,True,True,,,
105543,2025-06-01 05:35:42.569661,True,True,,,
102405,2025-06-01 05:36:23.921671,True,True,,,
92012,2025-06-01 05:37:05.006223,True,True,,,
91092,2025-06-01 05:37:46.087295,True,True,,,
102980,2025-06-01 05:38:27.499306,True,True,,,
100817,2025-06-01 05:39:08.817923,True,True,,,
93136,2025-06-01 05:39:49.740783,True,True,,,
88969,2025-06-01 05:40:30.778067,True,True,,,
94077,2025-06-01 05:41:11.534108,True,True,,,
84549,2025-06-01 05:41:52.715400,True,True,,,
105133,2025-06-01 05:42:34.066352,True,True,,,
93022,2025-06-01 05:43:14.962053,True,True,,,
91844,2025-06-01 05:43:57.953299,True,True,,,
84622,2025-06-01 05:44:39.275666,True,True,,,
105547,2025-06-01 05:45:20.250536,True,True,,,
87300,2025-06-01 05:46:01.044264,True,True,,,
91962,2025-06-01 05:46:43.608241,True,True,,,
